id,franchise,subtitle_ที่เหลือ,คำบอกชุด,generic,name
45656673294,attack on titan,Attack on Titan (ผ่าพิภพไททัน) งานจับฉลาก,1,⚠️กว้าง,[พรีออเดอร์🇯🇵] Ichiban Kuji Attack on Titan (ผ่าพิภพไททัน) ง
27279490589,blue lock,Blue lock,0,⚠️กว้าง,[พรีออเดอร์✅🇯🇵] Ichiban kuji Blue lock - Prepared for the Fi
29339788269,crayon shin-chan,Crayon Shin-chan ~I'm Full~,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Crayon Shin-chan ~I'm Full~ | งานร
29965776108,jujutsu kaisen,Jujutsu Kaisen (มหาเวทย์ผนึกมาร),1,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Jujutsu Kaisen (มหาเวทย์ผนึกมา
49006759453,kaiju no,Kaiju No. 8 2nd Edition,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Kaiju No. 8 2nd Edition // ไคจู หม
29488922987,kaiju no,Kaiju No.8 1st Edition,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Kaiju No.8 1st Edition | งานรางวัล
44328829559,my hero academia,My Hero Academia,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji My Hero Academia – Spun Feelin
49556753289,naruto,NARUTO,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji NARUTO - Land of Waves // นารูโตะ 
42028898599,naruto,Naruto,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Naruto – Chunin Exam Edition ฟ
27536611650,naruto,Naruto,0,⚠️กว้าง,🔥 พรีออเดอร์เปิดแล้ว! 🔥 Ichiban Kuji Naruto - Will of the Fi
52756322318,naruto shippuden,Naruto Shippuden สงครามนินจา,1,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵 | Keyima] Ichiban Kuji Naruto Shippuden สงคร
51206477637,one piece,One Piece,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji One Piece - The Throne of Power //
47406764360,one piece,One Piece,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵][LastOne] Ichiban Kuji One Piece – The Great
26924040996,one piece,One Piece,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji One Piece – The Greatest Battl
43079024592,sakamoto days,SAKAMOTO DAYS vol.3,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji SAKAMOTO DAYS vol.3 // อิจิบัง คุจ
50206654322,(?),,0,,"[พรีออเดอร์] Ichiban Kuji - Arya-san, the girl next door who"
47156378418,(?),,0,,🛒 [พรีออเดอร์🇯🇵] YuYu Hakusho Ichiban Kuji – Dark Martial Ar
44403354384,(?),Figure,0,,[พรีออเดอร์]: Demon Slayer Burn Your Heart ฟิกเกอร์ งานจับฉล
44250945731,(?),Figure,0,,[พรีออเดอร์✅🇯🇵]: ดิจิม่อน Digimon Two Powers that Emit Light
44051641214,(?),Figure,0,,"[พรีออเดอร์🇯🇵✅]:  Gintama ~No matter how old you are, the lo"
43853369911,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: Kirby of the Stars Kirby Café PETIT ฟิกเกอร
41953299727,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: Mobile Suit Gundam ฟิกเกอร์ งานจับฉลาก / Ic
41853359607,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: KINGDOM HEARTS Linking Hearts ฟิกเกอร์ งานจ
41700934018,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: ดิจิม่อน the ultimate evolution ฟิกเกอร์ งา
41501635085,(?),Figure,0,,[พรีออเดอร์]: Mobile Suit Gundam vol.2 ฟิกเกอร์ งานจับฉลาก /
40751645880,(?),Figure,0,,[พรีออเดอร์✅🇯🇵]: Gintama 20th Anniversary Gintama Exhibition
40551636923,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: Gintama ~The lottery is all about timing~ ฟ
40401317912,(?),Figure,0,,[พรีออเดอร์✅🇯🇵]: Bocchi the Rock! VOLUME 3 ฟิกเกอร์ งานจับฉล
40253380010,(?),Figure,0,,[พรีออเดอร์🇯🇵✅]: Yuru Camp vol.2 ฟิกเกอร์ งานจับฉลาก / Ichib
28621287519,(?),[พรีออเดอร์,0,,[พรีออเดอร์🇯🇵]: ICHIBAN KUJI DEMON SLAYER - THE CONNECTED TR
47856383407,(?),ศึกประลองมืด Vol.2,1,,[พรีออเดอร์🇯🇵] ยูยู่ฮาคุโชะ Ichiban Kuji ศึกประลองมืด Vol.2 
29914062351,(?),นารูโตะ,1,,[พรีออเดอร์][Naruto]: Shippuden Connected Feelings Ichiban k
52559790200,(?),NIKKE CHAPTER7 ล็อตใหม่ ของแท้จากญี่ปุ่น 💯,2,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji NIKKE CHAPTER7 ล็อตใหม่ ของแท้
50506749053,(?),DEATH NOTE,2,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji DEATH NOTE | งานจับฉลาก เดธโน๊
42656292026,(?),: Rurouni Kenshin,2,,[พรีออเดอร์]:  Ichiban Kuji: Rurouni Kenshin – Meiji Swordsm
52906633801,(?),School Idolmaster Part 4,3,,[พรีออเดอร์] Ichiban Kuji School Idolmaster Part 4 // อิจิบั
50556855619,(?),School Idolmaster Part 3,3,,[พรีออเดอร์] Ichiban Kuji School Idolmaster Part 3 // อิจิบั
46456755364,(?),Honkai: Star Rail Vol.2,3,,[พรีออเดอร์] Ichiban Kuji Honkai: Star Rail Vol.2 // อิจิบัง
43079095349,(?),School Idolmaster Part 2,3,,[พรีออเดอร์] Ichiban Kuji School Idolmaster Part 2 // อิจิบั
40929029594,(?),PreCure ~Forever Hearts!~,3,,[พรีออเดอร์] Ichiban Kuji PreCure ~Forever Hearts!~ // พริตต
40678991811,(?),LAWSON ~50th Anniversary~,3,,[พรีออเดอร์] Ichiban Kuji LAWSON ~50th Anniversary~ // อิจิบ
52810593473,(?),REBORN! Ring Battle รีบอร์น ล็อตใหม่  ของแท้จากญี่ปุ่น ,4,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji REBORN! Ring Battle รีบอร์น ล็
47056772542,(?),Stranger Things Unknown World Vol.2,4,,[พรีออเดอร์] Ichiban Kuji Stranger Things Unknown World Vol.
40651473927,(?),DEATH NOTE DMM ฟิกเกอร์แท้จากญี่ปุ่น,4,,[พรีออเดอร์🇯🇵✅] Ichiban Kuji DEATH NOTE DMM ฟิกเกอร์แท้จากญี
28436654371,(?),Saint Seiya: Golden Saints Edition ของแท้จากญี่ปุ่น,4,,[พรีออเดอร์✅]: Ichiban Kuji Saint Seiya: Golden Saints Editi
53356745456,(?),Goddess of Victory: NIKKE CHAPTER5,5,,[พรีออเดอร์] Ichiban Kuji Goddess of Victory: NIKKE CHAPTER5
50956844451,(?),"Anime ""Bocchi the Rock!"" VOLUME 4",5,,"[พรีออเดอร์] Ichiban Kuji Anime ""Bocchi the Rock!"" VOLUME 4 "
50656861986,(?),Idolmaster Shiny Colors Lolita Collection,5,,[พรีออเดอร์] Ichiban Kuji Idolmaster Shiny Colors Lolita Col
48106771880,(?),Godzilla Monster Dance Wild Things,5,,[พรีออเดอร์] Ichiban Kuji Godzilla Monster Dance Wild Things
46056619756,(?),Ultraman Zero ~Beyond the STARS~,5,,[พรีออเดอร์] Ichiban Kuji Ultraman Zero ~Beyond the STARS~ |
45256628214,(?),godzilla Great Monster Legend G ก็อตซิลล่า งานจับฉลาก,5,,[พรีออเดอร์]: Ichiban kuji godzilla Great Monster Legend G ก
42505669825,(?),Gakuen Idol Master Part 2 ไอดอบมาสเตอร์ งานจับฉลาก,5,,[พรีออเดอร์]: Ichiban Kuji Gakuen Idol Master Part 2 ไอดอบมา
40103321295,(?),WIND BREAKER ~After the battle~ ฟิกเกอร์ งานจับฉลาก / F,5,,[พรีออเดอร์🇯🇵✅]: Ichiban Kuji WIND BREAKER ~After the battle
53408269050,(?),Godzilla MACHINE CHRONICLE ของแท้ญี่ปุ่น อิชิบัง คุจิ ก,6,,🦖 [พรีออเดอร์🇯🇵] Ichiban Kuji Godzilla MACHINE CHRONICLE ของ
52956639883,(?),Snow Miku ~SNOW MIKU ALL STARS~,6,,[พรีออเดอร์] Ichiban Kuji Snow Miku ~SNOW MIKU ALL STARS~ //
52356755972,(?),Idolmaster Shiny Colors Midnight Secret Party,6,,[พรีออเดอร์] Ichiban Kuji Idolmaster Shiny Colors Midnight S
50406851818,(?),Kamen Rider Zetts & Kamen Rider Gab,6,,[พรีออเดอร์] Ichiban Kuji Kamen Rider Zetts & Kamen Rider Ga
47958289082,(?),Street Fighter 6 ฟิกเกอร์ Juri Akuma MASTERLISE ของแท้ญ,6,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Street Fighter 6 ฟิกเกอร์ Juri
46806343082,(?),Crows & Worst ~ Wandering Crows ~  อิจิบัง คุจิ โครวส์ ,6,,🏆 [พรีออเดอร์🇯🇵] Ichiban Kuji Crows & Worst ~ Wandering Crow
45206492112,(?),Persona 5 The Royal  เพอร์โซน่า 5 เดอะ รอยัล,6,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Persona 5 The Royal  เพอร์โซน่
43253320163,(?),Harry Potter Magical Sweets Party / งานจับฉลาก แฮรี่พอต,6,,[พรีออเดอร์]: Ichiban Kuji Harry Potter Magical Sweets Party
42466908968,(?),Kamen Rider Kuuga : Back to A New Legend,6,,[พรีออเดอร์] Ichiban Kuji Kamen Rider Kuuga : Back to A New 
47456626606,(?),Goddess of Victory: NIKKE CHAPTER 6 (อิจิบัง คุจิ นิเคะ,7,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Goddess of Victory: NIKKE CHAP
46906885643,(?),"Movie ""The Quintessential Quintuplets"" ~Secret Ride-alo",7,,"[พรีออเดอร์] Ichiban Kuji Movie ""The Quintessential Quintupl"
45656872645,(?),NieR:Automata Ver1.1a -Glory to Humanity-,7,,[พรีออเดอร์] Ichiban Kuji NieR:Automata Ver1.1a -Glory to Hu
40709026177,(?),Rurouni Kenshin Kyoto Uprising ฟิกเกอร์ เคนชิน / ชิชิโอ,7,,【พรีออเดอร์ของแท้】[A/Last One] Ichiban Kuji Rurouni Kenshin 
27532843507,(?),"""Kinnikuman"" Perfect Superhuman Ancestor Edition คินนิค",7,,"[พรีออเดอร์✅🇯🇵] Ichiban Kuji ""Kinnikuman"" Perfect Superhuman"
50356639195,(?),"""That Dress-Up Doll Falls in Love"" Season 2",8,,"[พรีออเดอร์] Ichiban Kuji ""That Dress-Up Doll Falls in Love"""
49756664462,(?),Fate/Grand Order ~Celebrity Summer Experience & Archety,8,,[พรีออเดอร์] Ichiban Kuji Fate/Grand Order ~Celebrity Summer
42979128109,(?),Yu Yu Hakusho Dark Martial Arts Tournament Vol.3 อิจิบั,8,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Yu Yu Hakusho Dark Martial Art
42778996261,(?),WIND BREAKER -The Town Hero and the Festival-,8,,[พรีออเดอร์] Ichiban Kuji WIND BREAKER -The Town Hero and th
41729088622,(?),The Quintessential Quintuplets * ~With Love from the Qu,8,,[พรีออเดอร์] Ichiban Kuji The Quintessential Quintuplets * ~
41379005547,(?),Yu-Gi-Oh! Series vol.4 Three Mythical Gods Manifestatio,8,,[พรีออเดอร์] Ichiban Kuji Yu-Gi-Oh! Series vol.4 Three Mythi
28793307142,(?),Godzilla vs King Ghidorah MEGA BRAVE A賞 / B賞 ฟิกเกอร์ก็,8,,[พรีออเดอร์🇯🇵]: Ichiban Kuji Godzilla vs King Ghidorah MEGA 
53059000746,(?),WIND BREAKER 5th Anniversary of the Original Work วินเบ,9,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji WIND BREAKER 5th Anniversary o
47308289160,(?),Golden Kamuy Gold Nugget Scramble ฟิกเกอร์ Sugimoto Asi,9,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Golden Kamuy Gold Nugget Scram
24233481989,(?),set beast Ex yamato momnosuke งานจับฉลาก โมโมโนะสุเกะ ร,9,,[พรีออเดอร์🇯🇵✅] Ichiban kuji set beast Ex yamato momnosuke ง
51158269201,(?),That Time I Got Reincarnated as a Slime Movie ฟิกเกอร์ ,10,,[พรีออเดอร์🇯🇵] Ichiban Kuji That Time I Got Reincarnated as 
46656525764,(?),Berserk A Vow of Counterattack เซ็ตคุจิครบชุด ฟิกเกอร์ ,10,,[พรีออเดอร์🇯🇵✅]: Ichiban Kuji Berserk A Vow of Counterattack
45056668486,(?),The Great Cats War ~Let's all play Peri-Peri together~,10,,[พรีออเดอร์] Ichiban Kuji The Great Cats War ~Let's all play
41800589986,(?),Baki ~The world can be changed with one fist~ บากิ,10,,[พรีออเดอร์] Ichiban Kuji Baki ~The world can be changed wit
51456748969,(?),3rd Year Class Z Ginpachi Sensei ~Youth in the Lottery ,12,,[พรีออเดอร์] Ichiban Kuji 3rd Year Class Z Ginpachi Sensei ~
25436103198,attack on titan,Attack on titan rumbling set ผ่าพิผพไททั่น เอเรนร่างบรร,5,,[พรีออเดอร์🇯🇵✅]:Ichiban kuji Attack on titan rumbling set ผ่
41073594858,attack on titan,Attack on Titan: I'll take down the Beast Titan อิจิบัง,8,,[พรีออเดอร์🇯🇵] Ichiban Kuji Attack on Titan: I'll take down 
53056751729,bleach,BLEACH Stirring Souls vol.3,2,,[พรีออเดอร์] Ichiban Kuji BLEACH Stirring Souls vol.3 // อิจ
27462024036,bleach,bleach op2 set,2,,[พรีออเดอร์]: Ichiban kuji bleach op2 set
26030509869,bleach,BLEACH Stirring Souls vol.2 (บลีช ฟิกเกอร์ ฉลากสุ่ม ราง,5,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji BLEACH Stirring Souls vol.2 (บ
50506603158,blue lock,Blue Lock : Day off,2,,[พรีออเดอร์] Ichiban Kuji Blue Lock : Day off | งานรางวัล คุ
51756662469,blue lock,Blue Lock Proof of Existence,3,,[พรีออเดอร์] Ichiban Kuji Blue Lock Proof of Existence // บล
47209844104,blue lock,Blue Lock Additional Time! (บลูล็อค) ล็อตใหม่ ของแท้จาก,3,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Blue Lock Additional Time! (บล
51556662145,dandadan,Dandadan ~Occultic Battle Begins!~,3,,[พรีออเดอร์] Ichiban Kuji Dandadan ~Occultic Battle Begins!~
47356685902,dandadan,"TV Anime ""Dandadan"" ~Invading the Cursed House!~",6,,"[พรีออเดอร์] Ichiban Kuji TV Anime ""Dandadan"" ~Invading the "
52906567375,demon slayer,Demon Slayer: Sister’s Revenge,2,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Demon Slayer: Sister’s Revenge
48856739408,demon slayer,Demon Slayer: The Successor,2,,[พรีออเดอร์] Ichiban Kuji Demon Slayer: The Successor // เดม
46506739987,demon slayer,DEMON SLAYER: Kimetsu no Yaiba,3,,[พรีออเดอร์] Ichibankuji DEMON SLAYER: Kimetsu no Yaiba - Bo
43418398072,demon slayer,demon slayer the hashima งานจับฉลาก ดาบพิฆาตอสูร ฟิกเกอ,4,,[พรีออเดอร์🇯🇵]: Ichiban kuji demon slayer the hashima งานจับ
53506724571,demon slayer,DEMON SLAYER: KIMETSU NO YAIBA: Pillar Training,5,,[พรีออเดอร์] Ichiban kuji DEMON SLAYER: KIMETSU NO YAIBA: Pi
24648010270,demon slayer,DEMON SLAYER: The Village of Swordsmiths Revealed,5,,[พรีออเดอร์] Ichibankuji DEMON SLAYER: The Village of Swords
45656755169,demon slayer,DEMON SLAYER: Yaiba ~Let's go to the swordsmith village,7,,[พรีออเดอร์] Ichiban kuji DEMON SLAYER: Yaiba ~Let's go to t
45206579148,demon slayer,Demon Slayer Kimetsu no Yaiba Brothers of Thunder อิจิบ,7,,[พรีออเดอร์🇯🇵] Ichiban Kuji Demon Slayer Kimetsu no Yaiba Br
41029040028,digimon,"""Digimon"" Series -Collision of Light and Darkness- / ดิ",7,,"[พรีออเดอร์] Ichiban Kuji ""Digimon"" Series -Collision of Lig"
45356437721,dragon ball,DRAGON BALL 40th ~Part 1~,2,,🛒 [พรีออเดอร์🇯🇵] Ichibankuji DRAGON BALL 40th ~Part 1~ // อิ
45306442231,dragon ball,Dragon Ball SNAP COLLECTION 2,2,,[พรีออเดอร์] Ichiban Kuji Dragon Ball SNAP COLLECTION 2 // อ
45356445655,dragon ball,Dragon Ball VS Omnibus CROSS,3,,🛒[พรีออเดอร์ 🇯🇵] Ichiban Kuji Dragon Ball VS Omnibus CROSS /
27367141774,dragon ball,dragon ball Daima งานจับฉลาก ดราก้อนบอล ไดมะ 1,3,,[พรีออเดอร์✅🇯🇵]: Ichiban kuji dragon ball Daima งานจับฉลาก ด
27525733581,dragon ball,Dragon ball EX Goku Training Edition ดราก้อนบอล งานจับฉ,4,,[พรีออเดอร์/PreOrder✅🇯🇵]: Ichiban Kuji Dragon ball EX Goku T
26030629652,dragon ball,: Dragon ball daima 2 ดราก้อนบอลไดมะ 2 ฟิกเกอร์ ดราก้อน,4,,[พรีออเดอร์✅🇯🇵] Ichiban kuji: Dragon ball daima 2 ดราก้อนบอล
53556580932,dragon ball,Dragon Ball Fantastic Adventure 2 ดราก้อนบอล แฟนแทสติก ,5,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Dragon Ball Fantastic Adventur
49606446896,dragon ball,Last one Dragon Ball VS Omnibus Ultimate,5,,Ichiban Kuji Last one Dragon Ball VS Omnibus Ultimate // อิจ
45610159493,dragon ball,Dragon Ball THE CHRONICLE OF GOKU (ดราก้อนบอล) ล็อตใหม่,5,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Dragon Ball THE CHRONICLE OF G
28834134449,dragon ball,Dragon Ball DRAGON HISTORY II Revible Moment ดราก้อนบอล,6,,[พรีออเดอร์✅🇯🇵] Ichiban Kuji Dragon Ball DRAGON HISTORY II R
44756500214,evangelion,Neon Genesis Evangelion 30th Anniversary อิจิบังคุจิ อี,7,,🛒[พรีออเดอร์🇯🇵 | KEYIMA] Ichiban Kuji Neon Genesis Evangelio
52358553981,frieren,Frieren Beyond Journey’s End ฟิกเกอร์ Frieren Fern MAST,6,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Frieren Beyond Journey’s End ฟ
49256342444,gundam,Mobile Suit Gundam UNIVERSAL CENTURY SAGA,5,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Mobile Suit Gundam UNIVERSAL C
49156623230,gundam,Mobile Suit Gundam GQuuuuuuX (Geaku Axe) vol.3,5,,🛒 [พรีออเดอร์🇯🇵] คุจิ กันดั้ม โมบิลสูท Ichiban Kuji Mobile S
48261073994,gundam,Gundam GQuuuuuuX vol.4GQuuuuuuX (Zeek Axe) vol.4  (กันด,5,,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Gundam GQuuuuuuX vol.4GQuuuuuu
43179041826,gundam,New Mobile Report Gundam Wing 30th Anniversary,5,,[พรีออเดอร์] Ichiban Kuji New Mobile Report Gundam Wing 30th
43678990721,haikyu,Haikyu!! -The Strongest Challenger-,3,,[พรีออเดอร์] Ichiban Kuji Haikyu!! -The Strongest Challenger
